escopo_key,date_key,uf_key,quantidade_autos
18,0,1,307
18,0,6,51
2,1,5,762
18,1,5,816
18,1,8,1
18,1,3,81
18,1,3,414
19,2,7,2
2,2,1,6943
18,2,7,488
19,3,1,1
2,3,8,347
18,3,5,78
18,3,8,35
18,3,2,37
18,3,1,3512
18,3,4,40
18,3,4,65
18,3,6,1013
19,4,1,3
19,4,1,4
2,4,0,1041
2,4,7,1305
18,4,0,1339
18,4,3,65
18,4,6,211
18,4,7,384
19,5,1,4
18,5,5,135
18,5,2,11
18,5,2,22
18,5,3,444
18,5,4,24
18,5,6,702
19,6,0,2
19,6,1,3
18,6,0,328
18,6,2,14
18,6,3,161
18,6,1,425
18,6,1,2077
18,6,6,798
18,6,7,561
19,7,0,1
19,7,0,2
2,7,8,930
18,7,8,7
18,7,8,458
18,7,0,476
18,7,10,46
18,7,3,107
18,7,1,1628
18,7,6,151
18,7,6,616
18,7,7,72
18,7,7,97
19,8,0,4
18,8,5,51
18,8,8,143
18,8,0,213
18,8,3,114
18,8,4,91
18,8,4,461
18,8,6,26
18,8,6,86
18,8,7,160
19,9,1,7
2,9,1,3782
18,9,8,58
18,9,0,148
18,9,0,1303
18,9,10,39
18,9,10,63
18,9,3,76
18,9,4,31
18,9,7,88
18,9,7,123
19,10,3,1
19,10,7,6
2,10,0,2093
2,10,7,1260
18,10,8,201
18,10,0,143
18,10,0,169
18,10,10,40
18,10,10,99
18,10,10,287
18,10,1,411
18,10,4,234
18,10,7,171
18,10,7,190
19,11,5,1
19,11,1,1
2,11,7,851
18,11,9,5
18,11,0,609
18,11,10,232
18,11,6,160
18,11,6,176
18,11,7,149
18,11,7,197
19,12,6,1
2,12,8,678
18,12,5,238
18,12,8,159
18,12,0,221
18,12,0,224
18,12,7,99
19,13,1,5
19,13,6,1
2,13,8,840
2,13,1,2939
18,13,5,296
18,13,8,135
18,13,0,222
18,13,0,241
18,13,0,770
18,13,10,75
18,13,1,319
18,13,7,96
18,13,7,189
19,14,0,1
19,14,6,1
18,14,9,3
18,14,5,22
18,14,0,290
18,14,0,1029
18,14,10,65
18,14,1,502
18,14,4,80
18,14,4,351
18,14,7,90
2,15,10,2902
2,15,7,1626
18,15,9,1
18,15,8,283
18,15,0,835
18,15,10,453
18,15,1,629
18,15,4,414
18,15,7,123
19,16,0,8
19,16,1,4
2,16,7,1206
18,16,10,69
18,16,10,434
18,16,1,912
18,16,4,349
18,16,6,214
18,16,7,90
18,16,7,137
19,17,5,4
19,17,0,1
19,17,1,3
19,17,4,2
19,17,6,1
19,17,7,2
2,17,10,1544
18,17,9,2
18,17,5,232
18,17,5,262
18,17,5,579
18,17,8,163
18,17,10,792
18,17,4,463
18,17,6,174
18,17,7,260
19,18,4,1
2,18,0,2309
18,18,5,178
18,18,0,268
18,18,10,33
18,18,10,320
18,18,1,959
18,18,6,210
19,19,0,2
19,19,1,1
2,19,8,55
2,19,10,78
2,19,7,1309
18,19,0,29
18,19,0,49
18,19,0,205
18,19,0,813
18,19,1,52
18,19,1,1099
18,19,4,6
18,19,4,58
